"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4436","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","5.288140","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","7.289968","0","6"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","56.026482","3","56"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","0","15","15","1","12.794719","0","15"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","2.872449","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","1.438089","0","3"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","9.768115","0","6"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","16","18","1","82.892517","0","18"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","25","27","1","93.153473","0","27"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","4.708596","0","5"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","3.108404","0","2"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","0","2","2","1","1.848054","0","2"
"/Game/VRTemplate/Materials/M_LeftEyeGreen_RightEyeRed.M_LeftEyeGreen_RightEyeRed","0","12","12","1","74.919243","0","12"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","24","24","1","167.817688","0","24"
"/Interchange/gltf/M_Default.M_Default","0","234","244","6","1714.639160","0","244"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","63","1","530.224182","0","63"
"/Game/VRTemplate/Materials/M_Projectile.M_Projectile","0","12","12","1","102.723404","0","12"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","24","24","1","103.320053","0","24"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","33","33","1","84.916687","0","33"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","24","1","160.786041","0","24"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","1.567820","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","91.068779","0","12"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","2.155226","0","3"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","234","244","6","2048.160645","0","244"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","9","1","9.201901","0","9"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","1.748538","0","3"
